Subscriber MSISDN,Call Type,Other Party,Start Time,End Time

1234567890,INCOMING,1234567894,2025-03-19T21:00:02,2025-03-19T21:16:26

1234567890,OUTCOMING,1234567896,2025-03-19T22:28:54,2025-03-19T22:41:01

1234567890,OUTCOMING,1234567892,2025-03-19T23:57:09,2025-03-20T00:02:18

1234567890,INCOMING,1234567891,2025-03-20T00:58:16,2025-03-20T01:25:37

1234567890,OUTCOMING,1234567895,2025-03-20T02:38:39,2025-03-20T02:43:04

1234567890,INCOMING,1234567891,2025-03-20T08:24:34,2025-03-20T08:42:00

1234567890,OUTCOMING,1234567897,2025-03-20T11:10:38,2025-03-20T11:16:50

1234567890,OUTCOMING,1234567898,2025-03-21T01:43:30,2025-03-21T02:02:38

1234567890,INCOMING,1234567895,2025-03-21T06:25:18,2025-03-21T06:42:32

1234567890,INCOMING,1234567896,2025-03-21T07:57:55,2025-03-21T08:11:03

1234567890,OUTCOMING,1234567897,2025-03-21T15:38:27,2025-03-21T16:07:42

1234567890,INCOMING,1234567896,2025-03-21T19:09:55,2025-03-21T19:32:21

1234567890,OUTCOMING,1234567899,2025-03-21T20:27:08,2025-03-21T20:35:32

1234567890,INCOMING,1234567895,2025-03-21T22:40:41,2025-03-21T22:54:07

1234567890,INCOMING,1234567893,2025-03-22T03:04:23,2025-03-22T03:29:31

1234567890,OUTCOMING,1234567898,2025-03-22T05:02:13,2025-03-22T05:14:18

1234567890,INCOMING,1234567891,2025-03-22T05:59:18,2025-03-22T06:23:25

1234567890,INCOMING,1234567896,2025-03-22T06:55:46,2025-03-22T07:00:14

1234567890,INCOMING,1234567898,2025-03-22T08:03:14,2025-03-22T08:07:42

1234567890,INCOMING,1234567894,2025-03-22T09:57:00,2025-03-22T10:02:12

1234567890,INCOMING,1234567896,2025-03-22T11:08:23,2025-03-22T11:12:28

1234567890,OUTCOMING,1234567891,2025-03-22T12:17:07,2025-03-22T12:28:22

1234567890,OUTCOMING,1234567893,2025-03-22T13:30:20,2025-03-22T13:36:34

1234567890,INCOMING,1234567896,2025-03-22T20:18:46,2025-03-22T20:44:57

1234567890,OUTCOMING,1234567897,2025-03-22T22:37:35,2025-03-22T22:38:59

1234567890,OUTCOMING,1234567894,2025-03-23T01:00:52,2025-03-23T01:21:10

1234567890,OUTCOMING,1234567898,2025-03-23T04:26:58,2025-03-23T04:55:59

1234567890,OUTCOMING,1234567895,2025-03-23T04:48:15,2025-03-23T05:10:28

1234567890,OUTCOMING,1234567899,2025-03-23T06:41:26,2025-03-23T06:48:52

1234567890,INCOMING,1234567893,2025-03-23T18:11:46,2025-03-23T18:16:06

1234567890,INCOMING,1234567896,2025-03-23T19:52:11,2025-03-23T20:05:34
