Subscriber MSISDN,Call Type,Other Party,Start Time,End Time

1234567890,OUTCOMING,1234567892,2025-03-19T01:20:33,2025-03-19T01:24:42

1234567890,OUTCOMING,1234567894,2025-03-19T14:42:38,2025-03-19T15:08:55

1234567890,INCOMING,1234567895,2025-03-20T01:41:48,2025-03-20T02:02:04

1234567890,INCOMING,1234567896,2025-03-20T03:28:16,2025-03-20T03:58:45

1234567890,INCOMING,1234567893,2025-03-20T10:21:57,2025-03-20T10:36:09

1234567890,INCOMING,1234567891,2025-03-20T18:21:19,2025-03-20T18:44:34

1234567890,OUTCOMING,1234567896,2025-03-20T21:27:22,2025-03-20T21:49:37

1234567890,INCOMING,1234567899,2025-03-21T00:04:15,2025-03-21T00:34:30

1234567890,OUTCOMING,1234567892,2025-03-21T03:25:45,2025-03-21T03:55:47

1234567890,OUTCOMING,1234567894,2025-03-21T07:32:04,2025-03-21T07:49:14

1234567890,INCOMING,1234567892,2025-03-21T08:08:32,2025-03-21T08:14:46

1234567890,OUTCOMING,1234567899,2025-03-21T08:50:50,2025-03-21T09:09:18

1234567890,OUTCOMING,1234567896,2025-03-21T12:51:00,2025-03-21T12:53:13

1234567890,INCOMING,1234567894,2025-03-22T03:40:46,2025-03-22T04:03:59

1234567890,INCOMING,1234567897,2025-03-22T10:10:40,2025-03-22T10:38:49

1234567890,INCOMING,1234567898,2025-03-22T16:39:46,2025-03-22T16:58:50

1234567890,INCOMING,1234567891,2025-03-22T17:55:05,2025-03-22T18:24:19

1234567890,OUTCOMING,1234567899,2025-03-22T21:18:37,2025-03-22T21:28:06
